"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"13117","South","South Atlantic",89,152,202,295,345,611,923,575,438,409
"13119","South","South Atlantic",-1,0,2,26,16,26,50,33,26,26
"13121","South","South Atlantic",672,2354,3363,3950,2892,4127,6090,3853,3043,3003
"13123","South","South Atlantic",7,16,54,69,36,22,23,3,-1,-1
"13125","South","South Atlantic",0,5,2,1,1,0,0,0,0,0
"13127","South","South Atlantic",5,41,110,138,108,55,63,24,16,8
"13129","South","South Atlantic",24,19,15,50,22,31,80,37,26,23
"13131","South","South Atlantic",-1,-14,-22,-1,15,50,50,25,29,0
"13133","South","South Atlantic",-4,9,18,25,19,18,47,37,34,25
"13135","South","South Atlantic",594,1936,2857,3001,2246,3681,5433,3482,3036,2348
"13137","South","South Atlantic",-6,-25,-8,11,9,50,46,12,5,2
"13139","South","South Atlantic",-1,3,48,105,186,313,418,190,136,73
"13141","South","South Atlantic",0,1,5,9,6,4,8,6,7,4
"13143","South","South Atlantic",0,-5,-3,-7,-5,-7,2,-2,-2,-5
"13145","South","South Atlantic",0,4,19,7,1,4,8,-1,-4,-2
"13147","South","South Atlantic",0,2,5,9,6,3,5,-1,-2,-2
"13149","South","South Atlantic",0,-1,-2,-1,0,-2,-2,-2,-2,-2
"13151","South","South Atlantic",74,159,186,152,155,171,237,144,140,26
